Player,Tm,FantPos,G,Pass Cmp,Pass Att,Pass Yds,Pass TD,Int,Rush Att,Rush Yds,Y/A,Rush TD,Tgt,Rec,Rec Yds,Y/R,Rec TD,Fmb,FL,Tot TD,2PM,2PP,FantPt,PPR,VBD,PosRk,OvRk,Opponent_15,Location_15,PointsAllowed_15,GameCompetitiveness_15,Opponent_16,Location_16,PointsAllowed_16,GameCompetitiveness_16,Opponent_17,Location_17,PointsAllowed_17,GameCompetitiveness_17,Partition,Proj Std Pts,Proj_Std_15,Proj_Std_16,Proj_Std_17,Proj PPR Pts,Proj_PPR_15,Proj_PPR_16,Proj_PPR_17
Darnell Washington,PIT,TE,9,0,0,0,0,0,0,0,0,0,1.67,1.33,14,10.5,0.11,0,0,0.11,0,0,2.11,3.4,,45,,PHI,0,4.6,0.7682403,BAL,0,8,1.055794,KAN,1,9.8,0.8197425,Train,2.0973847963,2.3720357311,2.7407910959,3.1471859457,3.4069061193,3.5178668887,3.8866222535,4.2930171033
Ameer Abdullah,LVR,RB,9,0,0,0,0,0,1.78,9,5.06,0.11,1.89,1.56,6.67,4.29,0,0.22,0.11,0.11,0,0,2,3.57,,72,,ATL,1,15.2,1.3315508,JAX,1,21.3,1.5347594,NOR,0,22.4,1.2620321,Train,2.020889083,3.6714330278,4.3017538834,4.1344811562,3.5773388693,5.0333265908,5.6636474464,5.4963747192
Nick Chubb,CLE,RB,3,0,0,0,0,0,14,37.7,2.69,0.33,2,0.67,2,3,0,0,0,0.33,0,0,6,6.63,,73,,KAN,1,10,1.1790123,CIN,0,16.3,1.6604938,MIA,1,20.4,1.3641975,Train,5.975772864,6.5967024905,7.0248506387,7.6552210091,6.6398842223,7.1777999291,7.6059480772,8.2363184476
Mecole Hardman,KAN,WR,9,0,0,0,0,0,0.22,4.22,19,0.11,1.22,1.11,8.67,7.8,0,0,0,0.11,0,0,2,3.07,,114,,CLE,0,25.7,1.0333333,HOU,1,23.9,0.9416667,PIT,0,18.5,0.675,Test,1.9313794255,4.3632903307,4.424123664,3.6074569973,3.0622719508,5.3528212903,5.4136546236,4.5969879569
Bub Means,NOR,WR,7,0,0,0,0,0,0,0,0,0,2.14,1.29,16.9,13.11,0.14,0,0,0.14,0,0,2.57,3.83,,111,,WAS,1,20.6,0.9285714,GNB,0,19.4,0.894958,LVR,1,17.2,1.197479,Validation,2.5430180327,4.6279979215,4.2546365769,4.3148886778,3.8281171705,5.752459667,5.3790983225,5.4393504233
Trey Palmer,TAM,WR,8,0,0,0,0,0,0,0,0,0,2,1.13,15.4,13.67,0.13,0,0,0.13,0,0,2.25,3.41,,110,,LAC,0,18.2,0.5197133,DAL,0,21.7,1.0322581,CAR,1,19,1.1111111,Train,2.3680199349,3.9439887692,4.3452432495,4.3331285542,3.4810132923,4.9178579569,5.3191124372,5.3069977419
Tim Patrick,DET,WR,8,0,0,0,0,0,0,0,0,0,1.88,1.5,22.1,14.75,0,0,0,0,0,0,2.25,3.71,,112,,BUF,1,17,0.5803571,CHI,0,16,0.5565476,SFO,0,19.5,0.6607143,Train,2.2617420608,3.9870600175,3.6346790651,3.9950957317,3.7304698101,5.2721967981,4.9198158458,5.2802325124
Justin Watson,KAN,WR,9,0,0,0,0,0,0,0,0,0,2,1.67,19.7,11.8,0,0,0,0,0,0,2,3.63,,113,,CLE,0,25.7,1.0333333,HOU,1,23.9,0.9416667,PIT,0,18.5,0.675,Train,2.0138445539,4.435447318,4.4962806513,3.6796139847,3.6528729247,5.8695971424,5.9304304758,5.1137638091
Ashton Dulin,IND,WR,10,0,0,0,0,0,0.5,4.5,9,0,0.7,0.2,6.7,33.5,0.1,0,0,0.1,0,0,1.7,1.92,,115,,DEN,0,15.9,0.772093,TEN,1,16.4,1.2232558,NYG,0,20.4,1.0325581,Train,1.7371537405,3.1872188253,3.5323351044,3.6632653369,1.9754479718,3.3957262777,3.7408425567,3.8717727893
Gus Edwards,LAC,RB,5,0,0,0,0,0,9.6,33.6,3.5,0,0.2,0.2,0.4,2,0,0,0,0,0,0,3.4,3.6,,76,,TAM,1,19.5,1.2090909,DEN,1,17.7,0.7545455,NWE,0,20.9,1.0227273,Train,3.435484724,5.3269582244,5.101503679,5.1983218608,3.5970255618,5.4683064574,5.242851912,5.3396700938
Jamycal Hasty,NWE,RB,10,0,0,0,0,0,1.7,5.2,3.06,0,1,0.8,5.9,7.38,0.1,0,0,0.1,0,0,1.7,2.51,,75,,ARI,0,19.9,1.3333333,BUF,0,21.5,1.1818182,LAC,1,11.7,0.8787879,Train,1.7365070413,3.6427769945,3.7876254793,3.027322449,2.5219014221,4.3299970777,4.4748455625,3.7145425322
Kyle Juszczyk,SFO,RB,9,0,0,0,0,0,0.33,2.33,7,0.11,2,1.22,10.3,8.45,0,0,0,0.11,0,0,1.89,3.16,,74,,LAR,1,17.8,0.956,MIA,0,20.4,0.884,DET,1,15.2,0.708,Train,1.9420719144,3.8249129251,3.8277129251,3.5401129251,3.1588793879,4.8896194644,4.8924194644,4.6048194644
John Metchie,HOU,WR,7,0,0,0,0,0,0,0,0,0,1.86,1.29,15.7,12.22,0.14,0,0,0.14,0,0,2.43,3.71,,116,,MIA,1,17,0.9866071,KAN,0,18.8,0.8526786,BAL,1,30.9,1.0982143,Train,2.4521136162,4.1942601285,4.1108672713,5.5954208427,3.723937499,5.3071060259,5.2237131688,6.7082667402
Adam Thielen,CAR,WR,3,0,0,0,0,0,0,0,0,0,4,2.67,36.3,13.63,0.33,0,0,0.33,0,0,5.67,8.3,,117,,DAL,1,21.7,1.7245509,ARI,1,19.9,1.3173653,TAM,0,23.9,1.5928144,Train,5.660251984,7.5451755758,7.3244570129,7.5020019231,8.3102509704,9.863924689,9.6432061261,9.8207510363
Parker Washington,JAX,WR,10,0,0,0,0,0,0,0,0,0,1.5,0.9,10.8,12,0,0.1,0,0,0,0,1.7,2.58,,118,,NYJ,1,16.4,1.1640212,LVR,0,17.2,1.5079365,TEN,1,16.4,1.3915344,Test,1.1811910773,3.0399443091,2.9043358435,3.0626956318,2.1059339793,3.8490943483,3.7134858827,3.8718456711
Mo Alie-Cox,IND,TE,10,0,0,0,0,0,0,0,0,0,1.3,0.7,10,14.29,0.1,0,0,0.1,0,0,1.6,2.3,,46,,DEN,0,6.2,0.772093,TEN,1,5,1.2232558,NYG,0,3.9,1.0325581,Test,1.5660139893,2.067471543,2.2425878221,1.8635180546,2.3035961048,2.712855894,2.8879721731,2.5089024057
Erick All,CIN,TE,9,0,0,0,0,0,0,0,0,0,2.44,2.22,17.6,7.9,0,0,0,0,0,0,1.78,3.98,,47,,TEN,0,5,0.9740741,CLE,1,4.7,0.9185185,DEN,1,6.2,0.6148148,Train,1.7872831951,2.1612802032,2.3757246476,2.4953542772,3.9785100168,4.0786036721,4.2930481166,4.4126777462
Dameon Pierce,HOU,RB,4,0,0,0,0,0,3.5,24.5,7,0.25,0.25,0.25,0.25,1,0,0,0,0.25,0,0,4,4.22,,77,,MIA,1,20.4,0.9866071,KAN,0,10,0.8526786,BAL,1,15.2,1.0982143,Test,4.1378382499,6.009269183,4.7058763258,5.5004298973,4.319920672,6.1685913023,4.8651984452,5.6597520166
Cedrick Wilson Jr.,NOR,WR,8,0,0,0,0,0,0,0,0,0,1.75,1.38,15.3,11.09,0.13,0.13,0.13,0.13,0,0,2,3.4,,119,,WAS,1,20.6,0.9285714,GNB,0,19.4,0.894958,LVR,1,17.2,1.197479,Train,2.0894765239,4.2311491012,3.8577877567,3.9180398576,3.4581568333,5.428744372,5.0553830275,5.1156351283
Brandin Cooks,DAL,WR,4,0,0,0,0,0,0.5,0.5,1,0,4.75,2.25,22.8,10.11,0.25,0,0,0.25,0,0,3.75,6.08,,120,,CAR,0,19,1.5736041,TAM,1,23.9,1.3502538,PHI,0,17.4,0.9086294,Validation,3.7538825446,5.3420076326,6.0596726073,5.1155101707,6.0607075485,7.3604795111,8.0781444857,7.1339820491
Johnny Mundt,MIN,TE,9,0,0,0,0,0,0,0,0,0,2.33,1.56,10.3,6.64,0.11,0,0,0.11,0,0,1.67,3.26,,48,,CHI,1,6.7,0.7663934,SEA,0,7.5,0.9754098,GNB,1,7.6,0.8729508,Train,1.7207604262,2.5023047171,2.3532063565,2.6029604549,3.2624288597,3.8512645965,3.7021662358,3.9519203342
Kimani Vidal,LAC,RB,4,0,0,0,0,0,4.5,11,2.44,0,0.75,0.75,12.3,16.33,0.25,0,0,0.25,0,0,3.75,4.58,,78,,TAM,1,19.5,1.2090909,DEN,1,17.7,0.7545455,NWE,0,20.9,1.0227273,Train,3.8596690149,5.6981194789,5.4726649335,5.5694831153,4.6080792016,6.3529783923,6.1275238468,6.2243420287
Cordarrelle Patterson,PIT,RB,5,0,0,0,0,0,3.8,21.2,5.58,0,1.4,1,6.8,6.8,0,0,0,0,0,0,2.8,3.8,,80,,PHI,0,13.7,0.7682403,BAL,0,15.2,1.055794,KAN,1,10,0.8197425,Train,2.825986048,3.9195618263,4.0983171911,3.8047120409,3.8019641131,4.7735426333,4.9522979981,4.6586928479
Pierre Strong,CLE,RB,7,0,0,0,0,0,2.43,9.14,3.76,0,1.86,1,11,11,0,0,0,0,0,0,2,3.01,,79,,KAN,1,10,1.1790123,CIN,0,16.3,1.6604938,MIA,1,20.4,1.3641975,Train,2.0531271556,3.1643874957,3.5925356439,4.2229060142,3.033147865,4.0219056164,4.4500537646,5.0804241349
Josh Whyle,TEN,TE,9,0,0,0,0,0,0,0,0,0,2,1.56,15.8,10.14,0,0,0,0,0,0,1.56,3.13,,49,,CIN,1,9.6,1.5823529,IND,0,9,1.3352941,JAX,0,9.1,1.6882353,Validation,1.6671249966,2.8269696662,2.4922637838,2.5375579015,3.1613428424,4.1344102812,3.7997043989,3.8449985165
Audric Estime,DEN,RB,6,0,0,0,0,0,4.83,24.7,5.1,0,0,0,0,0,0,0.33,0.17,0,0,0,2.17,2.13,,81,,IND,1,18.4,1.0607477,LAC,0,11.7,0.6775701,CIN,0,16.3,1.2570093,Train,2.1771204976,4.1010552017,3.1427374447,3.66068137,2.1461892213,4.073990335,3.115672578,3.6336165032
Jake Haener,NOR,QB,5,2.8,5.8,35.4,0.2,0,1.4,3.6,2.57,0,0,0,0,0,0,0,0,0,0,0,2.6,2.58,,44,,WAS,1,16.6,0.9285714,GNB,0,13.7,0.894958,LVR,1,18,1.197479,Train,2.6124547919,4.2887550857,3.7453937412,4.4556458421,2.5776130122,4.2582685285,3.714907184,4.4251592848
Luke McCaffrey,WAS,WR,11,0,0,0,0,0,0,0,0,0,1.55,1.18,12.2,10.31,0,0,0,0,0,0,1.18,2.4,,121,,NOR,0,21.4,0.8428571,PHI,1,17.4,0.6392857,ATL,1,22,0.8892857,Test,1.2349349841,3.3048538253,3.1344966825,3.6194966825,2.4314287832,4.3517858996,4.1814287567,4.6664287567
Ryan Miller,TAM,WR,4,0,0,0,0,0,0,0,0,0,3,1.5,17.5,11.67,0.25,0,0,0.25,0,0,3.25,4.75,,123,,LAC,0,18.2,0.5197133,DAL,0,21.7,1.0322581,CAR,1,19,1.1111111,Train,3.2963676185,4.7562929924,5.1575474727,5.1454327773,4.7853450331,6.0591482301,6.4604027104,6.4482880151
Curtis Samuel,BUF,WR,9,0,0,0,0,0,0.33,0.67,2,0,3,1.78,14.1,7.94,0,0,0,0,0,0,1.44,3.26,,122,,DET,0,23.5,0.6082474,NWE,1,19.7,0.7731959,NYJ,1,16.4,0.7560137,Test,1.5510415699,3.7679861159,3.6544809613,3.3227627482,3.3048492503,5.3025678363,5.1890626817,4.8573444686
Jahan Dotson,PHI,WR,10,0,0,0,0,0,0.1,1.3,13,0,1.7,0.9,10.6,11.78,0,0,0,0,0,0,1.2,2.09,,127,,PIT,1,18.5,0.6254826,WAS,0,20.6,0.8532819,DAL,1,21.7,1.1119691,Train,1.2045121287,3.2164963751,3.1992762979,3.5851450238,2.1085388555,4.0075197611,3.9902996839,4.3761684097
Tanner Hudson,CIN,TE,6,0,0,0,0,0,0.17,0.17,1,0,2.33,1.67,12.3,7.4,0.17,0.17,0.17,0.17,0,0,2,3.58,,52,,TEN,0,5,0.9740741,CLE,1,4.7,0.9185185,DEN,1,6.2,0.6148148,Train,1.9545349793,2.3076255143,2.5220699587,2.6416995884,3.6224850173,3.7670817975,3.981526242,4.1011558716
David Moore,CAR,WR,10,0,0,0,0,0,0,0,0,0,2.2,1.3,12.1,9.31,0,0,0,0,0,0,1.2,2.51,,124,,DAL,1,21.7,1.7245509,ARI,1,19.9,1.3173653,TAM,0,23.9,1.5928144,Train,1.254561768,3.6901966369,3.469478074,3.6470229842,2.5281644648,4.8045989965,4.5838804337,4.7614253439
Andrew Ogletree,IND,TE,10,0,0,0,0,0,0,0,0,0,0.8,0.6,5.8,9.67,0.1,0,0,0.1,0,0,1.2,1.78,,50,,DEN,0,6.2,0.772093,TEN,1,5,1.2232558,NYG,0,3.9,1.0325581,Train,1.2178941456,1.7628666797,1.9379829588,1.5589131914,1.8002691556,2.2724448135,2.4475610926,2.0684913251
K.J. Osborn,NWE,WR,7,0,0,0,0,0,0,0,0,0,2.57,1,8.14,8.14,0.14,0,0,0.14,0,0,1.71,2.67,,128,,ARI,0,19.9,1.3333333,BUF,0,17,1.1818182,LAC,1,18.2,0.8787879,Train,1.7001477489,3.6109626136,3.3058110985,3.6455080682,2.685098444,4.4727944719,4.1676429567,4.5073399264
Patrick Ricard,BAL,RB,10,0,0,0,0,0,0,0,0,0,0.3,0.1,0.3,3,0.1,0,0,0.1,0,0,1.2,1.33,,82,,NYG,0,18.4,0.7302632,PIT,1,16.6,0.5328947,HOU,0,15.2,0.7434211,Train,0.6723113056,2.5012987082,2.5515618661,2.1826144977,0.7458165796,2.565615823,2.6158789809,2.2469316125
Trent Sherfield,MIN,WR,9,0,0,0,0,0,0,0,0,0,0.78,0.67,6.78,10.17,0.11,0,0,0.11,0,0,1.33,2.01,,125,,CHI,1,16,0.7663934,SEA,0,22.1,0.9754098,GNB,1,19.4,0.8729508,Train,1.3746446298,3.1294533953,3.5103550347,3.480109133,2.0276503566,3.7008334063,4.0817350456,4.051489144
Carson Steele,KAN,RB,9,0,0,0,0,0,5.11,16.9,3.3,0,0.67,0.33,1.11,3.33,0,0.33,0.22,0,0,0,1.33,1.69,,83,,CLE,0,16.2,1.0333333,HOU,1,15.2,0.9416667,PIT,0,16.6,0.675,Train,1.4043628492,2.9521508263,3.0929841597,2.956317493,1.7173066352,3.2259766391,3.3668099724,3.2301433058
Malik Washington,MIA,WR,6,0,0,0,0,0,0.33,4.5,13.5,0.17,1,0.67,5.67,8.5,0,0,0,0.17,0,0,2,2.68,,126,,HOU,0,23.9,1.2486188,SFO,1,19.5,1.2265193,CLE,0,25.7,1.3701657,Train,2.0361548528,4.2964973747,4.1042874299,4.4886520708,2.7214584151,4.8961379916,4.7039280469,5.0882926878
Brock Wright,DET,TE,9,0,0,0,0,0,0,0,0,0,1.22,1,6.44,6.44,0.11,0,0,0.11,0,0,1.33,2.31,,51,,BUF,1,5.1,0.5803571,CHI,0,6.7,0.5565476,SFO,0,5.1,0.6607143,Train,1.3350402537,1.9861959362,1.8938149838,1.7442316505,2.3155712943,2.8441605968,2.7517796444,2.6021963111
Jalen Brooks,DAL,WR,9,0,0,0,0,0,0,0,0,0,2.67,0.89,11.9,13.38,0,0,0,0,0,0,1.22,2.08,,129,,CAR,0,19,1.5736041,TAM,1,23.9,1.3502538,PHI,0,17.4,0.9086294,Train,1.2508514847,3.1518554552,3.8695204299,2.9253579933,2.1190568957,3.9115351898,4.6292001645,3.6850377279
Simi Fehoko,LAC,WR,8,0,0,0,0,0,0,0,0,0,2,0.75,13.3,17.67,0,0,0,0,0,0,1.38,2.08,,131,,TAM,1,23.9,1.2090909,DEN,1,15.9,0.7545455,NWE,0,19.7,1.0227273,Validation,1.2920903174,3.8914881186,3.0460335731,3.202851755,2.0606099328,4.5639427821,3.7184882367,3.8753064185
Alec Ingold,MIA,RB,8,0,0,0,0,0,1.13,1.63,1.44,0.13,1,0.88,7.5,8.57,0,0.25,0.13,0.13,0,0,1.38,2.29,,85,,HOU,0,15.2,1.2486188,SFO,1,18.3,1.2265193,CLE,0,16.2,1.3701657,Train,1.4683420481,2.9296611705,3.4874512258,3.0418158666,2.3422799723,3.6943568542,4.2521469094,3.8065115503
Hunter Luepke,DAL,RB,9,0,0,0,0,0,0.67,2.11,3.17,0,1.22,1,10.6,10.56,0,0,0,0,0,0,1.22,2.27,,84,,CAR,0,26.3,1.5736041,TAM,1,19.5,1.3502538,PHI,0,13.7,0.9086294,Train,1.303900444,3.9282732946,3.4759382692,2.6017758326,2.2842259546,4.7860581163,4.333723091,3.4595606544
Christian McCaffrey,SFO,RB,1,0,0,0,0,0,13,39,3,0,7,6,68,11.33,0,0,0,0,0,0,11,16.7,,86,,LAR,1,17.8,0.956,MIA,0,20.4,0.884,DET,1,15.2,0.708,Train,10.736922806,11.520407455,11.523207455,11.235607455,16.670348814,16.712155212,16.714955212,16.427355212
Bo Melton,GNB,WR,9,0,0,0,0,0,0.56,3.78,6.8,0,1.22,0.56,8.11,14.6,0,0,0,0,0,0,1.22,1.74,,130,,SEA,0,22.1,0.952,NOR,1,21.4,0.944,MIN,0,24.9,0.68,Train,1.220806099,3.3734053366,3.5526053366,3.6262053366,1.7752263897,3.858523091,4.037723091,4.111323091
Jonathan Mingo,CAR,WR,9,0,0,0,0,0,0.22,0.56,2.5,0,2.89,1.33,13.4,10.08,0,0.11,0.11,0,0,0,1.22,2.51,,132,,DAL,1,21.7,1.7245509,ARI,1,19.9,1.3173653,TAM,0,23.9,1.5928144,Test,1.1622530946,3.6094265476,3.3887079847,3.5662528949,2.5017765925,4.7815096083,4.5607910454,4.7383359556
Jermaine Burton,CIN,WR,8,0,0,0,0,0,0,0,0,0,1.25,0.38,12.4,33,0,0,0,0,0,0,1.25,1.61,,134,,TEN,0,16.4,0.9740741,CLE,1,25.7,0.9185185,DEN,1,15.9,0.6148148,Train,1.2949056194,2.8704498244,4.0448942688,3.0345238985,1.6813679228,3.2086043398,4.3830487843,3.3726784139
Blake Corum,LAR,RB,9,0,0,0,0,0,2.56,8.89,3.48,0,0.33,0.33,2.67,8,0,0,0,0,0,0,1.11,1.49,,87,,SFO,0,18.3,1.0422535,NYJ,0,18.3,1.0328638,ARI,1,19.9,1.0328638,Train,1.187956198,2.9736870253,2.9727480582,3.3827480582,1.4969692844,3.2440734759,3.2431345088,3.6531345088
T.J. Hockenson,MIN,TE,2,0,0,0,0,0,0,0,0,0,6.5,5.5,49.5,9,0,0,0,0,0,0,5,10.4,,54,,CHI,1,6.7,0.7663934,SEA,0,7.5,0.9754098,GNB,1,7.6,0.8729508,Train,4.9695906095,5.3450311276,5.195932767,5.4456868653,10.428452678,10.121535437,9.9724370765,10.222191175
Lucas Krull,DEN,TE,6,0,0,0,0,0,0,0,0,0,2.33,1.67,16,9.6,0,0,0,0,0,0,1.67,3.27,,55,,IND,1,9,1.0607477,LAC,0,5.4,0.6775701,CIN,0,9.6,1.2570093,Train,1.6408950684,2.6918579512,2.0435401942,2.5214841195,3.2824158418,4.1281886279,3.4798708709,3.9578147961
Marvin Mims,DEN,WR,10,0,0,0,0,0,0.4,3.4,8.5,0,1.9,1.1,6.9,6.27,0,0,0,0,0,0,1,2.13,,133,,IND,1,21.8,1.0607477,LAC,0,18.2,0.6775701,CIN,0,20.9,1.2570093,Train,1.0475297061,3.4526632592,2.8043455022,3.1322894274,2.1386479362,4.4073917105,3.7590739535,4.0870178788
Drew Sample,CIN,TE,10,0,0,0,0,0,0,0,0,0,0.9,0.8,4.2,5.25,0.1,0.1,0,0.1,0,0,1,1.82,,53,,TEN,0,5,0.9740741,CLE,1,4.7,0.9185185,DEN,1,6.2,0.6148148,Train,1.0560548774,1.5214554252,1.7358998696,1.8555294992,1.8335483064,2.2017621755,2.4162066199,2.5358362496
Mason Tipton,NOR,WR,10,0,0,0,0,0,0,0,0,0,2.5,1.4,9.9,7.07,0,0,0,0,0,0,1,2.39,,135,,WAS,1,20.6,0.9285714,GNB,0,19.4,0.894958,LVR,1,17.2,1.197479,Train,1.0309158928,3.3049085491,2.9315472045,2.9917993054,2.4054027977,4.5075845908,4.1342232463,4.1944753471
Harrison Bryant,LVR,TE,8,0,0,0,0,0,0,0,0,0,1.5,1.13,10.8,9.56,0,0,0,0,0,0,1.13,2.2,,59,,ATL,1,8.1,1.3315508,JAX,1,9.1,1.5347594,NOR,0,6.2,1.2620321,Train,1.1205586133,2.1736438668,2.2939647224,1.7266919952,2.2240437773,3.1391933854,3.259514241,2.6922415137
Parris Campbell,PHI,WR,4,0,0,0,0,0,0,0,0,0,1.75,1.5,7.5,5,0.25,0,0,0.25,0,0,2.25,3.75,,137,,PIT,1,18.5,0.6254826,WAS,0,20.6,0.8532819,DAL,1,21.7,1.1119691,Test,2.3381523899,4.2084316037,4.1912115265,4.5770802523,3.7685871196,5.4600619922,5.442841915,5.8287106409
Kylen Granson,IND,TE,10,0,0,0,0,0,0,0,0,0,1.2,0.6,9,15,0,0,0,0,0,0,0.9,1.5,,56,,DEN,0,6.2,0.772093,TEN,1,5,1.2232558,NYG,0,3.9,1.0325581,Train,0.9492558664,1.5278081854,1.7029244645,1.323854697,1.5301522671,2.0360925361,2.2112088151,1.8321390477
Connor Heyward,PIT,TE,9,0,0,0,0,0,0,0,0,0,0.67,0.44,3.22,7.25,0.11,0,0,0.11,0,0,1,1.43,,57,,PHI,0,4.6,0.7682403,BAL,0,8,1.055794,KAN,1,9.8,0.8197425,Train,1.0197519755,1.4291070129,1.7978623777,2.2042572275,1.4408153601,1.7975374744,2.1662928392,2.572687689
Cooper Rush,DAL,QB,5,7,12.4,42.4,0.2,0.2,1,1.4,1.4,0,0,0,0,0,0,0.6,0.4,0,0,0.2,1.8,1.84,,45,,CAR,0,18.6,1.5736041,TAM,1,23.1,1.3502538,PHI,0,13.1,0.9086294,Train,1.8473385779,3.6337816618,4.3114466364,3.0172841998,1.877392186,3.6600785688,4.3377435435,3.0435811069
Cade Stover,HOU,TE,10,0,0,0,0,0,0,0,0,0,1.3,0.8,8.7,10.88,0,0,0,0,0,0,0.9,1.67,,58,,MIA,1,5,0.9866071,KAN,0,9.8,0.8526786,BAL,1,8,1.0982143,Train,0.9149337477,1.6492277436,1.8658348864,1.9603884578,1.690804685,2.3281148137,2.5447219565,2.639275528
Robert Woods,HOU,WR,8,0,0,0,0,0,0,0,0,0,1.63,1,11.4,11.38,0,0,0,0,0,0,1.13,2.14,,136,,MIA,1,17,0.9866071,KAN,0,18.8,0.8526786,BAL,1,30.9,1.0982143,Train,1.1865897226,3.0869267215,3.0035338644,4.4880874358,2.1613973844,3.9398834256,3.8564905685,5.3410441399
Nate Adkins,DEN,TE,10,0,0,0,0,0,0,0,0,0,0.6,0.5,2.2,4.4,0.1,0,0,0.1,0,0,0.8,1.32,,60,,IND,1,9,1.0607477,LAC,0,5.4,0.6775701,CIN,0,9.6,1.2570093,Train,0.8547670892,2.0039959694,1.3556782124,1.8336221377,1.3320477841,2.4216165774,1.7732988204,2.2512427456
Jake Bobo,SEA,WR,9,0,0,0,0,0,0,0,0,0,1.44,1,9,9,0,0,0,0,0,0,0.89,1.9,,139,,GNB,1,19.4,0.926087,MIN,1,24.9,0.7391304,CHI,0,16,0.8130435,Train,0.9410750575,3.106049371,3.6373537188,2.5047450232,1.915127705,3.9583454375,4.4896497853,3.3570410897
Chris Brooks,GNB,RB,7,0,0,0,0,0,1.86,7.57,4.08,0,0.71,0.57,4.14,7.25,0,0,0,0,0,0,1.14,1.74,,88,,SEA,0,20.4,0.952,NOR,1,22.4,0.944,MIN,0,13.2,0.68,Train,1.2004850999,3.1856244624,3.6348244624,2.4384244624,1.7500454684,3.6664897849,4.1156897849,2.9192897849
Julius Chestnut,TEN,RB,9,0,0,0,0,0,1.78,7.89,4.44,0,0.11,0.11,1,9,0,0,0,0,0,0,0.89,1,,91,,CIN,1,16.3,1.5823529,IND,0,18.4,1.3352941,JAX,0,21.3,1.6882353,Train,0.9201581204,2.8433736495,2.7786677672,3.1039618848,1.0132345703,2.9248155431,2.8601096607,3.1854037784
Xavier Gipson,NYJ,WR,10,0,0,0,0,0,0,0,0,0,0.8,0.4,2.3,5.75,0.1,0.2,0,0.1,0,0,0.8,1.23,,138,,JAX,0,23.4,1.5513514,LAR,1,24.3,1.2918919,BUF,0,17,1.0540541,Train,0.8795864756,3.2647733013,3.5788273554,2.5750435716,1.255683081,3.593857831,3.9079118851,2.9041281013
Hassan Haskins,LAC,RB,9,0,0,0,0,0,1.11,2.44,2.2,0.11,0,0,0,0,0,0,0,0.11,0,0,0.89,0.91,,89,,TAM,1,19.5,1.2090909,DEN,1,17.7,0.7545455,NWE,0,20.9,1.0227273,Train,0.9404290541,3.1437845133,2.9183299678,3.0151481496,0.9138661745,3.1205419936,2.8950874482,2.99190563
Khalil Herbert,CIN,RB,7,0,0,0,0,0,1.14,2.29,2,0.14,0.29,0.29,0.57,2,0,0,0,0.14,0,0,1.14,1.43,,92,,TEN,0,19.1,0.9740741,CLE,1,16.2,0.9185185,DEN,1,17.7,0.6148148,Train,1.1547279505,3.0177943641,2.9722388086,3.0918684382,1.4261823488,3.2553169626,3.2097614071,3.3293910367
Rakim Jarrett,TAM,WR,3,0,0,0,0,0,0,0,0,0,2.67,2,25.7,12.83,0,0,0,0,0,0,2.67,4.57,,141,,LAC,0,18.2,0.5197133,DAL,0,21.7,1.0322581,CAR,1,19,1.1111111,Train,2.6208363912,4.1652031685,4.5664576488,4.5543429534,4.5861568804,5.8848585965,6.2861130768,6.2739983814
Jordan Mims,NOR,RB,8,0,0,0,0,0,1.5,4.88,3.25,0,0.88,0.5,5.25,10.5,0,0,0,0,0,0,1,1.51,,90,,WAS,1,20.2,0.9285714,GNB,0,17.7,0.894958,LVR,1,20.3,1.197479,Train,1.0488341876,3.280587057,2.7772257124,3.3174778133,1.5317070502,3.7031008118,3.1997394673,3.7399915681
Laviska Shenault Jr.,SEA,WR,9,0,0,0,0,0,0.11,0.11,1,0,0.56,0.56,4,7.2,0,0.11,0.11,0,0,0,0.89,1.41,,142,,GNB,1,19.4,0.926087,MIN,1,24.9,0.7391304,CHI,0,16,0.8130435,Validation,0.3563727194,2.5944348251,3.1257391729,1.9931304773,0.8988941611,3.0691410866,3.6004454345,2.4678367388
Ben Sinnott,WAS,TE,11,0,0,0,0,0,0,0,0,0,0.27,0.27,1.64,6,0.09,0,0,0.09,0,0,0.73,0.98,,61,,NOR,0,6.2,0.8428571,PHI,1,4.6,0.6392857,ATL,1,8.1,0.8892857,Test,0.8290403705,1.4296960385,1.4993388956,1.8743388956,1.0549407068,1.6273588328,1.6970016899,2.0720016899
Skylar Thompson,MIA,QB,2,10.5,16.5,93.5,0,0,0.5,2,4,0,0,0,0,0,0,1,0,0,0,0,4,3.95,,46,,HOU,0,16.2,1.2486188,SFO,1,14,1.2265193,CLE,0,16.6,1.3701657,Train,4.0087775664,5.2525422491,5.2803323043,5.3046969452,3.9694885388,5.2181643499,5.2459544052,5.2703190461
Kristian Wilkerson,LVR,WR,2,0,0,0,0,0,0,0,0,0,1.5,1,9,9,0.5,0,0,0.5,0,0,4,4.9,,140,,ATL,1,22,1.3315508,JAX,1,23.4,1.5347594,NOR,0,21.4,1.2620321,Test,3.9581481234,6.0465346882,6.2068555438,5.7295828166,4.8912284003,6.8629799305,7.0233007861,6.5460280588
