Player,Tm,FantPos,G,Pass Cmp,Pass Att,Pass Yds,Pass TD,Int,Rush Att,Rush Yds,Y/A,Rush TD,Tgt,Rec,Rec Yds,Y/R,Rec TD,Fmb,FL,Tot TD,2PM,2PP,FantPt,PPR,VBD,PosRk,OvRk,Opponent_15,Location_15,PointsAllowed_15,GameCompetitiveness_15,Opponent_16,Location_16,PointsAllowed_16,GameCompetitiveness_16,Opponent_17,Location_17,PointsAllowed_17,GameCompetitiveness_17,Partition,Proj Std Pts,Proj_Std_15,Proj_Std_16,Proj_Std_17,Proj PPR Pts,Proj_PPR_15,Proj_PPR_16,Proj_PPR_17
Jaylen Warren,PIT,RB,7,0,0,0,0,0,7.86,31,3.95,0,2.29,2,13.7,6.86,0,0.14,0.14,0,0,0,4.14,6.19,,61,,PHI,0,13.7,0.7682403,BAL,0,15.2,1.055794,KAN,1,10,0.8197425,Train,4.2102072844,5.1307554082,5.309510773,5.0159056228,6.1891843549,6.8623603449,7.0411157097,6.7475105595
Tyler Huntley,MIA,QB,3,13,22,125.7,0.33,0.33,5.33,22.3,4.19,0.33,0,0,0,0,0,0.33,0.33,0.33,0,0,9.33,9.27,,40,,HOU,0,16.2,1.2486188,SFO,1,14,1.2265193,CLE,0,16.6,1.3701657,Train,9.230131052,9.821226549,9.8490166042,9.8733812451,9.2522629933,9.8405919976,9.8683820528,9.8927466937
Dare Ogunbowale,HOU,RB,10,0,0,0,0,0,2.5,6.8,2.72,0,2.1,1.5,15.5,10.33,0.1,0,0,0.1,0,0,2.8,4.33,,63,,MIA,1,20.4,0.9866071,KAN,0,10,0.8526786,BAL,1,15.2,1.0982143,Train,2.8621857807,4.8930732724,3.5896804152,4.3842339867,4.3447944886,6.1903558918,4.8869630347,5.6815166061
Devaughn Vele,DEN,WR,6,0,0,0,0,0,0,0,0,0,4.5,3.67,35.8,9.77,0.17,0,0,0.17,0,0,4.67,8.25,,87,,IND,1,21.8,1.0607477,LAC,0,18.2,0.6775701,CIN,0,20.9,1.2570093,Train,4.6279034211,6.5854902598,5.9371725028,6.265116428,8.2712849957,9.7734491376,9.1251313806,9.4530753058
Will Dissly,LAC,TE,9,0,0,0,0,0,0,0,0,0,4.67,3.67,30.2,8.24,0,0,0,0,0,0,3,6.69,,32,,TAM,1,9.6,1.2090909,DEN,1,6.2,0.7545455,NWE,0,6.4,1.0227273,Test,2.9919577005,3.9488720788,3.5634175334,3.3602357152,6.6659208395,7.1635898254,6.77813528,6.5749534618
Puka Nacua,LAR,WR,4,0,0,0,0,0,0.75,3,4,0,7.75,5.25,62.5,11.9,0,0,0,0,0,0,6.5,11.8,,88,,SFO,0,19.5,1.0422535,NYJ,0,16.4,1.0328638,ARI,1,19.9,1.0328638,Train,6.6049760939,7.8335794343,7.5226404672,8.1226404672,11.805143909,12.383726273,12.072787306,12.672787306
Marquez Valdes-Scantling,NOR,WR,8,0,0,0,0,0,0,0,0,0,1.63,0.75,17.5,23.33,0.25,0,0,0.25,0,0,3.25,4,,89,,WAS,1,20.6,0.9285714,GNB,0,19.4,0.894958,LVR,1,17.2,1.197479,Train,3.3021899631,5.2922733605,4.918912016,4.9791641169,4.0533509386,5.9495392141,5.5761778696,5.6364299704
Mike Williams,PIT,WR,10,0,0,0,0,0,0,0,0,0,2.2,1.3,19.8,15.23,0.1,0,0,0.1,0,0,2.6,3.88,,90,,PHI,0,17.4,0.7682403,BAL,0,30.9,1.055794,KAN,1,18.8,0.8197425,Train,2.6333376401,4.1209944695,5.4997498343,4.5161446841,3.9119536543,5.2397834818,6.6185388467,5.6349336964
Kenneth Gainwell,PHI,RB,10,0,0,0,0,0,4.2,19.7,4.69,0,1.1,0.7,4.9,7,0,0,0,0,0,0,2.5,3.16,,65,,PIT,1,16.6,0.6254826,WAS,0,20.2,0.8532819,DAL,1,22.4,1.1119691,Train,2.4908763862,4.1520651004,4.2848450232,4.7807137491,3.1664400015,4.7431832639,4.8759631867,5.3718319125
Tyler Johnson,LAR,WR,9,0,0,0,0,0,0,0,0,0,3.56,2.33,27.2,11.67,0,0,0,0,0,0,2.78,5.06,,93,,SFO,0,19.5,1.0422535,NYJ,0,16.4,1.0328638,ARI,1,19.9,1.0328638,Train,2.7721585023,4.4798640416,4.1689250745,4.7689250745,5.0674202707,6.488218089,6.1772791219,6.7772791219
Elijah Moore,CLE,WR,9,0,0,0,0,0,0,0,0,0,5.56,3.67,27.7,7.55,0,0,0,0,0,0,2.78,6.43,,92,,KAN,1,18.8,1.1790123,CIN,0,20.9,1.6604938,MIA,1,17,1.3641975,Train,2.7997001343,4.697638852,4.7057870002,4.5361573706,6.4424766584,7.8850683107,7.8932164588,7.7235868292
Isiah Pacheco,KAN,RB,2,0,0,0,0,0,17,67.5,3.97,0.5,4,3.5,27,7.71,0,0,0,0.5,0,0,12.5,15.9,,64,,CLE,0,16.2,1.0333333,HOU,1,15.2,0.9416667,PIT,0,16.6,0.675,Train,12.442973417,12.610935074,12.751768407,12.61510174,15.934852435,15.666329214,15.807162547,15.670495881
Spencer Rattler,NOR,QB,3,19.7,33,190.3,0.33,0.67,3,20.3,6.78,0,0,0,0,0,0,1,0.67,0,0,0,8.33,8.3,,41,,WAS,1,16.6,0.9285714,GNB,0,13.7,0.894958,LVR,1,18,1.197479,Train,8.2843729413,9.2516834665,8.7083221219,9.4185742228,8.3090644778,9.2732885609,8.7299272164,9.4401793173
DJ Turner,LVR,WR,9,0,0,0,0,0,0.56,3.67,6.6,0.11,2.33,1.11,11,9.9,0.11,0,0,0.22,0,0,2.78,3.91,,91,,ATL,1,22,1.3315508,JAX,1,23.4,1.5347594,NOR,0,21.4,1.2620321,Test,2.8439249899,5.0715894464,5.231910302,4.7546375747,3.943034299,6.0333100918,6.1936309474,5.7163582202
Elijah Higgins,ARI,TE,10,0,0,0,0,0,0,0,0,0,1.5,1.4,11.6,8.29,0.2,0,0,0.2,0,0,2.4,3.76,,34,,NWE,1,6.4,0.9453782,CAR,0,11.5,1.302521,LAR,0,9.2,1.0042017,Train,2.3863304876,3.0725769918,3.3682912775,3.1084593447,3.7721258566,4.2851479397,4.5808622254,4.3210302926
Austin Hooper,NWE,TE,10,0,0,0,0,0,0,0,0,0,3,1.9,20.1,10.58,0.1,0.1,0.1,0.1,0,0,2.4,4.31,,33,,ARI,0,5.3,1.3333333,BUF,0,5.1,1.1818182,LAC,1,5.4,0.8787879,Train,2.4549864789,2.8114465024,2.7762949872,3.0259919569,4.3378814764,4.4589796252,4.42382811,4.6735250797
Josh Reynolds,DEN,WR,5,0,0,0,0,0,0,0,0,0,3.8,2.4,36.6,15.25,0.2,0,0,0.2,0,0,4.8,7.26,,94,,IND,1,21.8,1.0607477,LAC,0,18.2,0.6775701,CIN,0,20.9,1.2570093,Train,4.9219434739,6.8427753061,6.194457549,6.5224014743,7.2928527314,8.9173209064,8.2690031493,8.5969470746
Jordan Akins,CLE,TE,9,0,0,0,0,0,0,0,0,0,2.89,2.11,19.1,9.05,0.11,0,0,0.11,0,0,2.56,4.69,,35,,KAN,1,9.8,1.1790123,CIN,0,9.6,1.6604938,MIA,1,5,1.3641975,Train,2.6040245884,3.6264227494,3.4045708976,3.164941268,4.6919001889,5.4533138999,5.231462048,4.9918324184
Greg Dortch,ARI,WR,10,0,0,0,0,0,0.1,0.4,4,0,3.3,2.2,18.7,8.5,0.1,0.1,0.1,0.1,0,0,2.3,4.51,,96,,NWE,1,19.7,0.9453782,CAR,0,19,1.302521,LAR,0,24.3,1.0042017,Train,2.3353855615,4.3580001815,4.0737144672,4.5738825344,4.5287732808,6.2772144358,5.9929287215,6.4930967887
Noah Gray,KAN,TE,9,0,0,0,0,0,0,0,0,0,2.33,2.11,25.1,11.89,0,0,0,0,0,0,2.56,4.62,,36,,CLE,0,4.7,1.0333333,HOU,1,4.7,0.9416667,PIT,0,6,0.675,Train,2.5529152479,2.8071341753,3.0479675086,2.9013008419,4.6280216191,4.62285225,4.8636855834,4.7170189167
Adonai Mitchell,IND,WR,10,0.1,0.1,2.4,0,0,0.2,1.4,7,0,3.8,1.8,21.1,11.72,0,0.1,0,0,0,0,2.3,4.15,,95,,DEN,0,15.9,0.772093,TEN,1,16.4,1.2232558,NYG,0,20.4,1.0325581,Train,2.3945099401,3.7624054999,4.107521779,4.2384520115,4.1771131369,5.3221832971,5.6672995762,5.7982298087
Ricky Pearsall,SFO,WR,3,0,0,0,0,0,0.33,13,39,0,5,3.67,44,12,0.33,0,0,0.33,0,0,7.67,11.4,,97,,LAR,1,24.3,0.956,MIA,0,17,0.884,DET,1,23.5,0.708,Train,7.6220737379,9.4449145207,8.4577145207,9.3401145207,11.345732947,12.703116329,11.715916329,12.598316329
